,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
374,Airai,8,TL,1528421238,80,-8.93,125.41,71.18,2.13
375,Hilo,90,US,1528419360,78,19.71,-155.08,78.8,8.05
376,Jamestown,92,AU,1528421264,47,-33.21,138.6,58.67,7.49
377,Torbay,20,CA,1528419600,86,47.66,-52.73,37.4,5.82
378,Kuala Lipis,20,MY,1528422165,98,4.19,102.05,83.53,4.07
379,Avarua,75,CK,1528419600,78,-21.21,-159.78,80.6,8.05
380,Busselton,92,AU,1528421242,100,-33.64,115.35,56.42,4.7
381,Busselton,92,AU,1528421242,100,-33.64,115.35,56.42,4.7
382,Fare,44,PF,1528422156,100,-16.7,-151.02,80.92,11.45
383,Karwar,92,IN,1528422192,99,14.8,74.13,71.83,2.28
384,Rikitea,20,PF,1528421089,100,-23.12,-134.97,72.71,14.99
385,Bluff,24,AU,1528421241,64,-23.58,149.07,67.67,12.64
386,Ponta do Sol,20,BR,1528422189,87,-20.63,-46.0,57.34,4.97
387,Bluff,24,AU,1528421241,64,-23.58,149.07,67.67,12.64
388,Manggar,56,ID,1528422193,82,-2.88,108.27,85.87,9.22
389,Puerto Ayora,20,EC,1528416000,61,-0.74,-90.35,77.0,16.11
390,Dikson,64,RU,1528421068,97,73.51,80.55,33.02,17.11
391,Chadiza,0,ZM,1528422194,86,-14.06,32.43,43.75,5.64
392,Peniche,75,PT,1528421400,100,39.36,-9.38,59.0,6.93
393,Atuona,0,PF,1528421285,100,-9.8,-139.03,80.27,10.51
394,Usinsk,36,RU,1528422189,86,66.0,57.56,46.27,4.18
395,Tinskoy,20,RU,1528422195,70,56.15,96.92,61.93,3.29
396,Mataura,12,NZ,1528421240,100,-46.19,168.86,40.67,4.7
397,Longyearbyen,75,NO,1528419000,69,78.22,15.63,35.6,18.34
398,Barrow,0,AR,1528420997,63,-38.31,-60.23,41.12,11.86
399,Vaini,92,IN,1528421258,99,15.34,74.49,70.37,3.69
400,Hithadhoo,8,MV,1528421234,100,-0.6,73.08,82.7,12.97
401,Mataura,12,NZ,1528421240,100,-46.19,168.86,40.67,4.7
402,Vaini,92,IN,1528421258,99,15.34,74.49,70.37,3.69
403,Port Alfred,80,ZA,1528421321,100,-33.59,26.89,64.34,11.86
404,Jamestown,92,AU,1528421264,47,-33.21,138.6,58.67,7.49
405,Atuona,0,PF,1528421285,100,-9.8,-139.03,80.27,10.51
406,Mataura,12,NZ,1528421240,100,-46.19,168.86,40.67,4.7
407,Arraial do Cabo,75,BR,1528416000,88,-22.97,-42.02,69.8,4.7
408,Lebu,76,ET,1528421265,96,8.96,38.73,50.93,2.8
409,Tuktoyaktuk,75,CA,1528419600,100,69.44,-133.03,37.4,12.75
410,Kloulklubed,90,PW,1528419060,79,7.04,134.26,86.0,9.17
411,Butaritari,48,KI,1528421270,100,3.07,172.79,84.68,5.93
412,Albany,20,US,1528419300,60,42.65,-73.75,69.8,5.82
413,Albany,20,US,1528419300,60,42.65,-73.75,69.8,5.82
414,Flinders,0,AU,1528416000,93,-34.58,150.85,53.6,5.97
415,Kruisfontein,80,ZA,1528421310,95,-34.0,24.73,62.81,13.87
416,Glendive,1,US,1528420500,51,47.11,-104.71,80.6,14.99
417,Mayo,75,CA,1528419600,51,63.59,-135.9,59.0,9.17
418,Upernavik,92,GL,1528421250,90,72.79,-56.15,32.93,9.84
419,Rikitea,20,PF,1528421089,100,-23.12,-134.97,72.71,14.99
420,Changji,24,CN,1528422201,76,32.07,116.17,86.32,10.45
421,Touros,92,BR,1528422137,94,-5.2,-35.46,77.77,10.56
422,Rikitea,20,PF,1528421089,100,-23.12,-134.97,72.71,14.99
423,Ushuaia,75,AR,1528419600,60,-54.81,-68.31,41.0,11.41
424,Chukhloma,92,RU,1528422202,96,58.76,42.68,47.26,13.58
425,Hobart,40,AU,1528419600,44,-42.88,147.33,60.8,25.28
426,Cananeia,56,BR,1528422203,100,-25.01,-47.93,63.1,12.8
427,Touros,92,BR,1528422137,94,-5.2,-35.46,77.77,10.56
428,Sitka,32,US,1528421304,37,37.17,-99.65,90.53,21.81
429,Ancud,92,CL,1528421317,94,-41.87,-73.83,49.67,12.75
430,East London,12,ZA,1528421359,100,-33.02,27.91,67.49,15.99
431,Lompoc,20,US,1528419480,63,34.64,-120.46,66.2,17.22
432,Avarua,75,CK,1528419600,78,-21.21,-159.78,80.6,8.05
433,Kapaa,75,US,1528419360,83,22.08,-159.32,78.8,12.75
434,Nhulunbuy,40,AU,1528419600,61,-12.18,136.78,82.4,13.87
435,Lompoc,20,US,1528419480,63,34.64,-120.46,66.2,17.22
436,Aklavik,40,CA,1528419600,43,68.22,-135.01,51.8,11.41
437,Bluff,24,AU,1528421241,64,-23.58,149.07,67.67,12.64
438,Punta Arenas,90,CL,1528419600,69,-53.16,-70.91,39.2,12.75
439,Pinhao,0,BR,1528422206,86,-25.7,-51.66,36.73,2.17
440,Santa Lucia,40,IT,1528419300,82,39.93,9.66,66.2,4.7
441,Yefremov,12,RU,1528422207,69,53.14,38.12,47.62,12.01
442,Ushuaia,75,AR,1528419600,60,-54.81,-68.31,41.0,11.41
443,Ola,75,RU,1528419600,74,59.58,151.3,64.4,6.71
444,Saskylakh,0,RU,1528420988,64,71.97,114.09,62.36,13.2
445,Atocha,40,EC,1528419600,76,-1.22,-78.6,55.4,14.99
446,Margate,40,AU,1528419600,44,-43.03,147.26,60.8,25.28
447,Cape Town,80,ZA,1528421069,100,-33.93,18.42,57.68,6.04
448,Jamestown,92,AU,1528421264,47,-33.21,138.6,58.67,7.49
449,Vaini,92,IN,1528421258,99,15.34,74.49,70.37,3.69
450,Port Lincoln,92,AU,1528422016,100,-34.72,135.86,60.49,9.89
451,Atuona,0,PF,1528421285,100,-9.8,-139.03,80.27,10.51
452,Punta Arenas,90,CL,1528419600,69,-53.16,-70.91,39.2,12.75
453,Tiksi,8,RU,1528421071,91,71.64,128.87,41.3,3.69
454,Qaanaaq,0,GL,1528421050,96,77.48,-69.36,28.25,6.49
455,Kokkola,0,FI,1528420800,93,63.84,23.13,37.4,3.36
456,Torbay,20,CA,1528419600,86,47.66,-52.73,37.4,5.82
457,Baringo,100,KE,1528422211,100,0.47,35.97,60.76,2.28
458,Jamestown,92,AU,1528421264,47,-33.21,138.6,58.67,7.49
459,Kaitangata,0,NZ,1528421237,92,-46.28,169.85,41.39,5.59
460,Mehamn,92,NO,1528421332,98,71.03,27.85,38.15,17.78
461,Mangai,0,CD,1528422212,60,-4.07,19.59,70.93,4.41
462,Lompoc,20,US,1528419480,63,34.64,-120.46,66.2,17.22
463,Tasiilaq,92,GL,1528419000,93,65.61,-37.64,35.6,10.29
464,Hobart,40,AU,1528419600,44,-42.88,147.33,60.8,25.28
465,Atuona,0,PF,1528421285,100,-9.8,-139.03,80.27,10.51
466,Chiriqui Grande,92,PA,1528422213,99,8.95,-82.12,71.92,2.28
467,Tuktoyaktuk,75,CA,1528419600,100,69.44,-133.03,37.4,12.75
468,Kaitangata,0,NZ,1528421237,92,-46.28,169.85,41.39,5.59
469,Bredasdorp,88,ZA,1528421243,99,-34.53,20.04,57.41,1.23
470,Barrow,0,AR,1528420997,63,-38.31,-60.23,41.12,11.86
471,Cape Town,80,ZA,1528421069,100,-33.93,18.42,57.68,6.04
472,Cidreira,0,BR,1528422128,78,-30.17,-50.22,50.68,16.6
473,Jamestown,92,AU,1528421264,47,-33.21,138.6,58.67,7.49
474,Hengshui,68,CN,1528421945,45,37.73,115.7,85.33,8.21
475,Wadi Musa,0,JO,1528422215,81,30.32,35.48,63.46,1.61
476,Iqaluit,75,CA,1528419600,96,63.75,-68.52,32.0,3.36
477,Hobart,40,AU,1528419600,44,-42.88,147.33,60.8,25.28
478,Mareeba,75,AU,1528419600,65,-16.99,145.42,77.0,18.34
479,Samarai,0,PG,1528421357,99,-10.62,150.67,79.1,14.43
480,Alta Floresta,0,BR,1528422217,90,-9.87,-56.08,75.43,2.28
481,Varhaug,0,NO,1528419000,93,58.61,5.65,53.6,7.65
482,Sosnovo-Ozerskoye,0,RU,1528422218,84,52.53,111.54,64.09,4.52
483,Georgetown,0,GY,1528419600,94,6.8,-58.16,77.0,4.7
484,Yellowknife,75,CA,1528419600,44,62.45,-114.38,60.8,11.41
485,Busselton,92,AU,1528421242,100,-33.64,115.35,56.42,4.7
486,Sobolevo,0,RU,1528422219,74,54.43,31.9,49.06,12.01
487,Guantanamo,48,BO,1528422219,74,-16.14,-62.05,57.7,6.76
488,Busselton,92,AU,1528421242,100,-33.64,115.35,56.42,4.7
489,Port Alfred,80,ZA,1528421321,100,-33.59,26.89,64.34,11.86
490,Punta Arenas,90,CL,1528419600,69,-53.16,-70.91,39.2,12.75
491,Kapaa,75,US,1528419360,83,22.08,-159.32,78.8,12.75
492,Rikitea,20,PF,1528421089,100,-23.12,-134.97,72.71,14.99
493,Vilyuysk,0,RU,1528422221,30,63.75,121.63,79.48,3.74
494,Los Llanos de Aridane,0,ES,1528419600,77,28.66,-17.92,68.0,11.41
495,Ushuaia,75,AR,1528419600,60,-54.81,-68.31,41.0,11.41
496,Leningradskiy,0,RU,1528422147,100,69.38,178.42,31.42,5.41
497,Ust-Tsilma,56,RU,1528421362,88,65.44,52.15,37.07,2.46
498,Ushuaia,75,AR,1528419600,60,-54.81,-68.31,41.0,11.41
499,Cangzhou,88,CN,1528422222,46,38.3,116.85,86.23,4.41
500,Oranjemund,88,ZA,1528421272,100,-28.55,16.43,56.51,7.61
501,Cabo San Lucas,40,MX,1528419000,42,22.89,-109.91,91.4,16.11
502,Hilo,90,US,1528419360,78,19.71,-155.08,78.8,8.05
503,Rorvik,20,NO,1528422223,100,64.86,11.24,41.77,0.83
504,Chegdomyn,36,RU,1528422223,47,51.13,133.04,55.09,7.09
505,Mataura,12,NZ,1528421240,100,-46.19,168.86,40.67,4.7
506,Albany,20,US,1528419300,60,42.65,-73.75,69.8,5.82
507,Belyy Yar,0,RU,1528419600,63,53.6,91.39,64.4,5.75
508,Punta Arenas,90,CL,1528419600,69,-53.16,-70.91,39.2,12.75
509,Ushuaia,75,AR,1528419600,60,-54.81,-68.31,41.0,11.41
510,Norman Wells,75,CA,1528419600,36,65.28,-126.83,64.4,6.93
511,Kaitangata,0,NZ,1528421237,92,-46.28,169.85,41.39,5.59
512,Hermanus,76,ZA,1528421239,95,-34.42,19.24,48.68,2.57
513,Ushuaia,75,AR,1528419600,60,-54.81,-68.31,41.0,11.41
514,Camargo,80,MX,1528422226,43,27.69,-105.17,75.52,3.18
515,Qaanaaq,0,GL,1528421050,96,77.48,-69.36,28.25,6.49
516,Umm Kaddadah,8,SD,1528422226,25,13.6,26.69,64.9,1.39
517,Comodoro Rivadavia,0,AR,1528419600,56,-45.87,-67.48,42.8,9.17
518,Deputatskiy,12,RU,1528422227,41,69.3,139.9,52.21,8.66
519,Hermanus,76,ZA,1528421239,95,-34.42,19.24,48.68,2.57
520,Arraial do Cabo,75,BR,1528416000,88,-22.97,-42.02,69.8,4.7
521,Atuona,0,PF,1528421285,100,-9.8,-139.03,80.27,10.51
522,Denpasar,80,ID,1528421232,100,-8.65,115.22,72.8,1.79
523,Hobyo,32,SO,1528422145,77,5.35,48.53,77.32,16.26
524,Nacala,0,MZ,1528422229,100,-14.56,40.69,69.49,14.7
525,Port Shepstone,0,ZA,1528422229,84,-30.74,30.45,64.18,18.05
526,Balkanabat,36,TM,1528422229,39,39.51,54.36,75.25,0.94
527,Yellowknife,75,CA,1528419600,44,62.45,-114.38,60.8,11.41
528,Rikitea,20,PF,1528421089,100,-23.12,-134.97,72.71,14.99
529,Albany,20,US,1528419300,60,42.65,-73.75,69.8,5.82
530,Dicabisagan,92,PH,1528422230,97,17.08,122.42,83.17,5.97
531,New Norfolk,40,AU,1528419600,44,-42.78,147.06,60.8,25.28
532,Cape Town,80,ZA,1528421069,100,-33.93,18.42,57.68,6.04
533,Hobart,40,AU,1528419600,44,-42.88,147.33,60.8,25.28
534,Ankazobe,20,MG,1528419600,87,-18.32,47.12,42.8,3.4
535,Vaini,92,IN,1528421258,99,15.34,74.49,70.37,3.69
536,College,75,US,1528421100,62,64.86,-147.8,66.2,10.29
537,Provideniya,75,RU,1528419600,80,64.42,-173.23,41.0,8.95
538,Puerto Ayora,20,EC,1528416000,61,-0.74,-90.35,77.0,16.11
